Date,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,24.320436477661133,24.789805680555496,23.879985137119938,24.778682511950375,212818400
2015-01-05,23.635290145874023,24.169169980365208,23.44843313723857,24.089087920333668,257142000
2015-01-06,23.63751220703125,23.89777802149258,23.274918008457785,23.699797868903328,263188400
2015-01-07,23.968957901000977,24.06905959852298,23.73538501057401,23.846609873223667,160423600
2015-01-08,24.889896392822266,24.947733789086367,24.180281318261837,24.29818108295771,237458000
2015-01-09,24.91660499572754,25.192442299341852,24.51619463793462,25.063420995479973,214798000
2015-01-12,24.302640914916992,25.054520636136424,24.202539182688724,25.047847413608846,198603200
2015-01-13,24.518409729003906,25.092330444797703,24.227001123216635,24.78757370102578,268367600
2015-01-14,24.42498779296875,24.578476995083378,24.135802385068178,24.255925476173466,195826400
2015-01-15,23.762081146240234,24.482817828251918,23.726490070380766,24.46947138694922,240056000
2015-01-16,23.57744789123535,23.931143866715107,23.401712389817426,23.80879582865299,314053200
2015-01-20,24.184736251831055,24.240348687400143,23.690897552432435,23.988979392447472,199599600
2015-01-21,24.369373321533203,24.70527125695511,24.08463618635833,24.235902099949918,194303600
2015-01-22,25.00335693359375,25.01892835113087,24.407191423782596,24.52731451499349,215185600
2015-01-23,25.13237190246582,25.30365745231713,24.80981876719715,24.981106014205256,185859200
2015-01-26,25.15906524658203,25.439352394096968,25.09233134289731,25.30143294436429,222460000
2015-01-27,24.278169631958008,25.021152803505036,24.253700019600767,25.007804662210148,382274800
2015-01-28,25.650676727294922,26.27576159595501,25.650676727294922,26.166760010959198,585908400
2015-01-29,26.44927978515625,26.51379042648761,25.706296620475385,25.875358932338358,337745600
2015-01-30,26.062217712402344,26.693974289279854,25.993257124754823,26.338054971520894,334982000
2015-02-02,26.389219284057617,26.509342380267437,25.821973309750312,26.260199689305406,250956400
2015-02-03,26.3936710357666,26.491547800843158,26.162323023222854,26.360303223899805,207662800
2015-02-04,26.596094131469727,26.807422432641452,26.31803191715725,26.360297916823008,280598800
2015-02-05,26.78592300415039,26.850688237069605,26.63182635672692,26.80378792396723,168984800
2015-02-06,26.56036376953125,26.85515626915488,26.453165722461225,26.80379014780035,174826400
2015-02-09,26.73678970336914,26.763587934082143,26.44869679621969,26.475496730787643,155559200
2015-02-10,27.25044059753418,27.279474284093233,26.835052713303483,26.837284763150453,248034000
2015-02-11,27.889162063598633,27.89809537590141,27.35764276049682,27.41794048872167,294247200
2015-02-12,28.242019653320312,28.469814852734082,28.04325814425922,28.15268823597874,297898000
2015-02-13,28.380483627319336,28.42514848436464,28.061124958265673,28.42514848436464,217088800
2015-02-17,28.5479793548584,28.782474113637615,28.344750336735732,28.47204705336743,252609600
2015-02-18,28.74673843383789,28.760137549027505,28.4631113340549,28.503310383478674,179566800
2015-02-19,28.686443328857422,28.8159738080515,28.659645094441533,28.69314288746139,149449600
2015-02-20,28.920928955078125,28.920928955078125,28.597104563377798,28.72439954429865,195793600
2015-02-23,29.70256996154785,29.70256996154785,28.95665661645379,29.03705468649264,283896400
2015-02-24,29.51722526550293,29.836585687088274,29.293897538526853,29.6891885694335,276912400
2015-02-25,28.762372970581055,29.389926669773462,28.619443378954198,29.38099165345976,298846800
2015-02-26,29.12639808654785,29.22689486952783,28.27552009882832,28.762372846811893,365150000
2015-02-27,28.688676834106445,29.15989840086983,28.63954446921471,29.03259998063847,248059200
2015-03-02,28.829364776611328,29.09512521848601,28.65293743705681,28.865098017539392,192386800
2015-03-03,28.889663696289062,28.925396936600634,28.606036638843683,28.800334003219497,151265200
2015-03-04,28.70654296875,28.93433819206644,28.65741400657439,28.83160935154858,126665200
2015-03-05,28.230852127075195,28.75343806710463,28.085688798004263,28.715472771397522,226068400
2015-03-06,28.273286819458008,28.891903806205928,28.197356218394752,28.675275661982294,291368400
2015-03-09,28.393882751464844,28.936570817459412,27.929360741103665,28.57701139156905,354114000
2015-03-10,27.806528091430664,28.411745860101902,27.647965653485496,28.230850996391403,275426400
2015-03-11,27.299575805664062,27.864594577511763,27.27054381992919,27.860128773496793,275756000
2015-03-12,27.793136596679688,27.89363510212031,27.163352437235787,27.315215368782457,193450800
2015-03-13,27.60106658935547,28.005290840517024,27.375506863940092,27.78196316508045,207309200
2015-03-16,27.90479278564453,27.90479278564453,27.440272508651557,27.665832237473083,143497200
2015-03-17,28.37154197692871,28.434073439956585,28.061116711287077,28.116948618112616,204092400
2015-03-18,28.69091033935547,28.84500699999388,28.22192250280766,28.362618342615455,261083600
2015-03-19,28.474275588989258,28.865098979426364,28.451943164592375,28.75343515358719,183238000
2015-03-20,28.116952896118164,28.6752703454672,27.95169090384917,28.641772559358838,274780400
2015-03-23,28.409509658813477,28.552439216023664,28.255413037755265,28.389410988512694,150838800
2015-03-24,28.29338264465332,28.59487295012784,28.264348957509863,28.413979789156055,131369200
2015-03-25,27.554170608520508,28.322418430487524,27.554170608520508,28.259886948021393,206620800
2015-03-26,27.74622344970703,27.88915299235185,27.37996628369787,27.41569952128635,190291600
2015-03-27,27.525129318237305,27.848953687498284,27.44919874486476,27.819921710124287,158184800
2015-03-30,28.221914291381836,28.22861384792027,27.692627174735108,27.70379423820227,188398800
2015-03-31,27.788667678833008,28.248722227049445,27.773034806918524,28.15939080017158,168362400
2015-04-01,27.748462677001953,27.94275836104558,27.491635518697358,27.875759379277465,162485600
2015-04-02,27.987424850463867,28.041023016701327,27.73506518490147,27.92265961866007,128880400
2015-04-06,28.440778732299805,28.476511977725288,27.766329911515612,27.79759564933545,148776000
